acm_first(value)	dblp_first(value)
"#*Information systems research at RWTH Aachen #@Matthias Jarke #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f8 #%5390879d20f70186a0d42c8c #%539087a120f70186a0d45841 #%539087a120f70186a0d45bfb #%539087a520f70186a0d48a08 #%539087a520f70186a0d48a8b #%539087aa20f70186a0d4aa89 #%539087be20f70186a0d52911 #%539087c320f70186a0d553bd #%539087cb20f70186a0d598e6 #%5390882120f70186a0d85b5a #%539089d220f70186a0d9a9f8 #%53908a4020f70186a0d9dc27 #%53908a5720f70186a0d9f8e0 #%53908a5720f70186a0da0ad7 #%53908a9620f70186a0da4b07 #%53908a9620f70186a0da4c41 #%53908a9720f70186a0da59ea #%53908af920f70186a0db096c #!With about 8.000 researchers and 40.000 students, RWTH Aachen is the largest technical university in Europe. The science and engineering departments and their industrial collaborators offer a lot of challenges for database research.The chair Informatik V (Information Systems) focuses on the theoretical analysis, prototypical development, and practical evaluation of meta information systems. Meta information systems, also called repositories, document and coordinate the distributed processes of producing, integrating, operating, and evolving database-intensive applications.Our research approaches these problems from a technological and from an application perspective.On the one hand, we pursue theory and system aspects of the integration of deductive and object-oriented technologies. One outcome of this work is a deductive object manager called ConceptBase which has been developed over the past eight years and is currently used by many research groups and industrial teams throughout the world.On the other hand, a wide range of application-driven projects aims at building a sound basis of empirical knowledge about the demands on meta information systems, and about the quality of proposed solutions. They address application domains as diverse as requirements engineering, telecommunications, cooperative engineering, organization-wide quality management, evolution of chemical production processes, and medical knowledge management. They share the vision of supporting wide-area distributed cooperation not just by low-level interoperation technology but by exploiting conceptual product and process modeling.Under the direction of M. Jarke, Informatik V comprises three research groups with a total of twenty senior researchers and doctoral students: distributed information systems (leader: Dr. Manfred Jeusfeld), process information systems (Dr. Klaus Pohl), and knowledge-based systems (Prof. Wolfgang Nejdl). Database-related activities also exist in the Software Engineering and Applied Mathematics groups."	#*Information Systems Research at RWTH Aachen. #@Matthias Jarke #t1995 #cSIGMOD Record #index53e9b8d4b7602d97044b3ccc #%53e9a4fab7602d9702e18b0c #%53e99a61b7602d97022caac9 #%53e9a09fb7602d9702987b96 #%53e9ab4fb7602d97034e2e6d #%53e9a154b7602d9702a4334b #%53e9a7abb7602d97030e61df #%53e9b4ceb7602d9703ff15ee #%53e9b108b7602d9703b86e5b #%53e9b254b7602d9703cf6fd7 #%53e99ecab7602d9702793fa7 #%53e998d4b7602d970210d83a #%53e9b077b7602d9703ade221 #%53e9bbd5b7602d97048270d3 #%53e9ab69b7602d970350642d #%53e9af06b7602d970393dc6a
"#*HODFA: an architectural framework for homogenizing heterogeneous legacy databases #@Kamalakar Karlapalem, Qing Li, Chung-Dak Shum #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f0 #%5390877920f70186a0d2caf6 #%5390877920f70186a0d2d270 #%5390878320f70186a0d32421 #%5390879920f70186a0d4125a #%5390879920f70186a0d416db #%539089bb20f70186a0d9928c #%539089d220f70186a0d9a0a9 #%53908bad20f70186a0dc2b07 #!One of the main difficulties in supporting global applications over a number of localized databases and migrating legacy information systems to modern computing environment is to cope with the heterogeneities of these systems. In this paper, we present a novel flexible architecture (called HODFA) to dynamically connect such localized heterogeneous databases in forming a homogenized federated database system and to support the process of transforming a collection of heterogeneous information systems onto a homogeneous environment. We further develop an incremental methodology of homogenization in the context of our HODFA framework, which can facilitate different degrees of homogenization in a stepwise manner, so that existing applications will not be affected during the process of homogenization."	#*HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database. #@Kamalakar Karlapalem, Qing Li, Chung-Dak Shum #t1995 #cSIGMOD Record #index53e9b4bfb7602d9703fdb00f #%53e9ab78b7602d970351d73e #%53e9a002b7602d97028e4375 #%53e9aed1b7602d97038f99be #%53e9b7eeb7602d97043a0e20 #%53e9a838b7602d970317f290 #%53e9add4b7602d97037db760
"#*Condition handling in SQL persistent stored modules #@Jeff Richey #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b545 #!The national and international standards committees responsible for Database Language SQL have proposed a candidate extension for SQL Persistent Stored Modules (SQL/PSM). The purpose of this extension is to provide a computationally complete language for the declaration and invocation of SQL stored modules and routines. Typically, such routines are stored in a database Server and executed from an application Client in a Client/Server environment.The proposed SQL/PSM consists of syntax and semantics for variable and cursor declarations, function and procedure (routines) invocations, condition handling, and control statements for looping and branching. An SQL routine is block structured, with each block consisting of local variable and condition handler declarations, a list of SQL statements, and local condition handler execution.Condition handling is a major new feature of SQL/PSM (henceforth referred to as PSM), although the style and comprehensiveness of the specification is still an issue in further progression of the standard. The specification currently under ballot includes conditions for exceptions, warnings, and other completions such as success of no data, and handlers for Continue, Exit, Redo, and Undo.Condition handling allows the user to separate condition handling code from the main flow of a routine, thereby eliminating the need to write numerous short and redundant code fragments to handle each unique condition. In some database products, one cannot even resolve the condition in the Server and must instead resort to the Client application program for resolution. Such approaches are often tedious, error-prone, and inflexible. Condition handling in the SQL module avoids these expensive alternatives, instead allowing the procedure to resolve its own conditions and then resume processing.Condition handling allows one to centralize the handling of conditions and gives users control over two major areas: run-time recovery from failures, and effects of conditions on transactions.Run-time recovery from failures has the following characteristics:• allows a user to handle any run-time condition, either by exiting gracefully or by attempting recovery• provides a recovery mechanism that includes the ability to resolve a condition and then resume action at the statement that caused the condition to be raised (if it was resolved)• provides the ability to define what \"code\" will handle each conditionAfter a condition has been resolved, what is the state of the transaction? Condition handling must ensure that the SQL-data, schemas, and SQL-variables are all maintained in an appropriate stable state and can be committed or rolled back. Additionally, the transaction must comply with the ACID test rules.Thus, the benefits of condition handling include:• allows reduction of error recovery code• creates a model for trapping and resolving conditions• provides the ability to resolve the condition and if possible to continue on• avoids the cost of requiring the SQL-client to resolve the condition• provides for greater data and path consistency in handling conditions• separates one condition from another"	#*Condition Handling in SQL Persistent Stored Modules. #@Jeff Richey #t1995 #cSIGMOD Record #index53e9b4d9b7602d9703ffe516
"#*Design and user testing of a multi-paradigm query interface to an object-oriented database #@Dac Khoa Doan, Norman W. Paton, Alistair Kilgour #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b531 #%539087a520f70186a0d48c6a #%539087a520f70186a0d491eb #%539087c320f70186a0d56257 #%539087c720f70186a0d56f96 #%5390879920f70186a0d40bcf #%5390879920f70186a0d40c9e #%539087f820f70186a0d72aec #%539089d220f70186a0d9a8a6 #%53908a4020f70186a0d9f2dc #%53908a5720f70186a0da04a4 #%53908b2a20f70186a0db8741 #!This paper reports on experience obtained during the design, implementation and use of a multi-paradigm query interface to an object-oriented database. The specific system which has been developed allows equivalent data retrieval tasks to be expressed using textual, form-based and graph-based notations, and supports automatic translation of queries between these three paradigms. The motivation behind the development of such an interface is presented, as is the software architecture which supports the multi-paradigm functionality. Feedback from initial user trials with a dual-paradigm version of the system indicates that users can use it to perform complex query tasks without difficulty, that given the choice users overwhelmingly prefer the graph- based to the text-based interaction style, and that graphical visualisation of textual queries appears to aid users in query construction."	#*Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database. #@Dac Khoa Doan, Norman W. Paton, Alistair C. Kilgour #t1995 #cSIGMOD Record #index53e9ac89b7602d970365fef8 #%53e9a848b7602d970319395f #%53e9b469b7602d9703f6a91b #%53e9af6eb7602d97039afe05 #%53e9baa6b7602d97046d0208 #%53e9b061b7602d9703ac4e49 #%53e9a957b7602d97032adc6b #%53e99c29b7602d97024d6aa8
"#*An annotated bibliography on active databases (short version) #@Ulrike Jaeger, Johann Christoph Freytag #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f6 #%539087a520f70186a0d48fca #%539087a520f70186a0d48ff5 #%539087aa20f70186a0d4aa9a #%539087be20f70186a0d51fc8 #%539087be20f70186a0d51fd6 #%539087be20f70186a0d51fcb #%5390878e20f70186a0d3ae66 #%5390879220f70186a0d3bcc3 #%53908a5720f70186a0da0a35 #%53908a9620f70186a0da48fe #%53908a9620f70186a0da4912 #%53908a9620f70186a0da49a1 #%53908a9620f70186a0da4c4e #%53908a9620f70186a0da4c56 #%53908f5b20f70186a0dd9585 #!This is a bibliography on active databases and active database systems which reflects the various research activities in this field. We compiled this bibliography for our own use, but hopefully it might be useful to other people as well. All papers that appear in the following list, are generally accessible.We do not claim that the bibliography is exhaustive and covers the complete range of literature that deals with activities. We decided to focus on central approaches, concepts, methods, and systems in the area of active databases. It does not contain entries in the area of \"pure\" real-time, object-oriented, temporal, and deductive databases. But we did include publications related to those approaches, as long as they discuss active databases.We divided the material into various sections following our own personal perception of the field. The sections provide an overview on different projects in the area of active databases, followed by sections on relevant research topics. Each section contains a few remarks followed by a list of cross references into the annotated bibliography. Papers might appear in more than one section in case they discuss different topics relevant to different sections.Additionally, when relevant we also included unpublished, but publicly available material. For those papers we included information how to obtain them from the authors or from the organizations where the were produced.The beauty of our work is the individual annotation to almost all publications. Due to space limitations we are forced to leave out those annotations in the version published here. For a complete annotated bibliography we refer to the entry in our WWW server.The effort to build up such a bibliography is an endless task. Since we believe it now provides a comprehensive overview on the existing literature in the field, we decided to publish it. However, we invite all readers to add remarks, corrections, updates, additions (including further annotations).Part of this work was done while we were associated with the FORWISS Institute of the Technical University of Munich. We would like to thank our student, Markus Blaschka, who compiled many references during his master's thesis."	#*An Annotated Bibliography on Active Databases. #@Ulrike Jaeger, Johann Christoph Freytag #t1995 #cSIGMOD Record #index53e9a1d0b7602d9702acbf58
"#*An aspect of query optimization in multidatabase systems #@Chiang Lee, Chia-Jung Chen, Hongjun Lu #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b539 #%539087a120f70186a0d45bd9 #%539087a520f70186a0d47fa5 #%539087a520f70186a0d47fa6 #%539087aa20f70186a0d4b7fc #%539087aa20f70186a0d4b7f9 #%5390879920f70186a0d416db #%5390879920f70186a0d416de #%53908a5720f70186a0da0713 #%53908a5720f70186a0da083e #%53908a9620f70186a0da49ba #!It is becoming increasingly important to manage databases as a repository resource and to allow application programs to access this resource in a heterogeneous distributed environment. Data requested by a query are sometimes available in multiple sites such that the query becomes executable in different ways. Under this circumstance, choosing the best execution plan becomes an important task for optimizing the query execution. Until today, however, query optimization in multidatabase systems has not been discussed much in the literature. In this work, we utilize the knowledge of scope relationship of relations in multidatabases to identify the sites that will return the same results. Then, we propose a novel way of optimizing queries which takes advantage of the conflicts of schemas in searching for the execution plan with the least execution cost. We achieve the goal by first classifying various schema conflicts into different types. The costs of executing the same relational operation on relations of conflicting schemas are evaluated and a weight is assigned to each of the cases to reflect the complexity of executing the operation. As this method only involves simple iterative computations of the weights and the saving of a query execution time can be dramatic, the method developed here can be regarded as an effective way of optimizing query processing in a multidatabase environment."	#*An Aspect of Query Optimization in Multidatabase Systems (Extended Abstract). #@Chiang Lee, Chia-Jung Chen, Hongjun Lu #t1995 #cSIGMOD Record #index53e9b5e6b7602d9704135d30
"#*A framework for providing consistent and recoverable agent-based access to heterogeneous mobile databases #@Evaggelia Pitoura, Bharat Bhargava #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b53d #%539087a120f70186a0d45789 #%539087aa20f70186a0d4aa95 #%539087be20f70186a0d537ff #%539087be20f70186a0d53809 #%539087be20f70186a0d53801 #%539087c320f70186a0d557e4 #%539087c320f70186a0d55edb #%539087c720f70186a0d56bdb #%539087c720f70186a0d56dcb #%539087c720f70186a0d57712 #%539087cb20f70186a0d59ec1 #%5390879220f70186a0d3d1ff #%539087cf20f70186a0d5c41f #%539089bb20f70186a0d98aa6 #%539089bb20f70186a0d98aa2 #%539089bb20f70186a0d99309 #%53908a5720f70186a0da067f #%53908cde20f70186a0dcf07f #%53908e0020f70186a0dd42a9 #!Information applications are increasingly required to be distributed among numerous remote sites through both wireless and wired links. Traditional models of distributed computing are inadequate to overcome the communication barrier this generates and to support the development of complex applications. In this paper, we advocate an approach based on agents. Agents are software modules that encapsulate data and code, cooperate to solve complicated tasks, and run at remote sites with minimum interaction with the user. We define an agent-based framework for accessing mobile heterogeneous databases. We then investigate concurrency control and recovery issues and outline possible solutions. Agent-based computing advances database transaction and control flow management concepts and remote programming techniques."	#*A Framework for Providing Consistent and Recoverable Agent-Based Access to Heterogeneous in Mobile Databases. #@Evaggelia Pitoura, Bharat K. Bhargava #t1995 #cSIGMOD Record #index53e99be3b7602d970248eb0d
"#*Normalization in OODB design #@Byung S. Lee #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b536 #!When we design an object-oriented database schema, we need to normalize object classes as we do for relations when designing a relational database schema. However, the normalization process for an object class cannot be the same as that of a relation, because of the distinct characteristics of an object-oriented data model such as complex attributes, collection data types, and the usage of object identifiers in place of relational key attributes. We need only one kind of dependency proposed here -- the object functional dependency -- which specifies the dependency of object attributes with respect to the object identifier. We also propose the object normal form of an object class, for which all determinants of object functional dependencies are object identifiers. There is no risk of update anomalies as long as all object classes are in the object normal form."	#*Normalization in OODB Design. #@Byung Suk Lee #t1995 #cSIGMOD Record #index53e99a74b7602d97022e39e2
"#*A close look at the IFO data model #@Magdy S. Hanna #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594f1 #%5390877920f70186a0d2cf74 #%5390877920f70186a0d2d158 #%5390877920f70186a0d2dd3a #%5390878320f70186a0d33420 #%5390878720f70186a0d34b04 #%539087f820f70186a0d72b05 #%539087f820f70186a0d72aec #%539087f820f70186a0d72e6f #%539087f820f70186a0d72e0c #%5390880d20f70186a0d7b7bd #%5390924920f70186a0de3daf #!The IFO data model was proposed by Abiteboul and Hull [Abiteboul 87] as a formalized semantic database model. It has been claimed by the authors that the model subsumes the Relational model [Codd 70], the Entity-Relationship model [Chen 76], the Functional Data Model [Kerschberg 76] and virtually all of the structured aspects of the Semantic Data Model [Hammer 81], the INSYDE Model [King 85], and the Extended Semantic Hierarchy Model [Brodie 84].This paper examines the IFO data model as presented in [Abiteboul 87], compares it to other models, and thus concludes that the IFO data model is actually a subset of the Semantic Data Model proposed by Hammer in [Hammer 81]. The paper also shows that the IFO data model has failed to support concepts that are essential to both the E-R model and the Semantic Data Model which are claimed to be subsumed by the IFO model.Section 2 discusses the three IFO constructs, objects, fragments, and relationships. The mapping of these constructs to constructs in the Semantic Data Model is established as an informal proof of the result that the IFO model is subsumed by the SDM.Section 3 lists constructs supported by the Entity-Relationship model [Chen 76, Teorey 86] as will as constructs supported by SDM [Hammer 81]that the IFO data model fails to support."	#*A Close Look at the IFO Data Model. #@Magdy S. Hanna #t1995 #cSIGMOD Record #index53e9b476b7602d9703f759ba #%53e9a99cb7602d97032f94c8 #%53e9a7bab7602d97030f958b #%53e99c3db7602d97024e8a5d #%53e9af3fb7602d970397bfe6 #%53e9b1c2b7602d9703c50d8d
"#*Optimizing Jan Jannink's Implementation of B+-tree deletion #@R. Maelbrancke, H. Olivié #t1995 #cACM SIGMOD Record #index539087cf20f70186a0d5b52d #%539087aa20f70186a0d4b503 #%539087b320f70186a0d4eee2 #%539087cb20f70186a0d594f3 #%5390877920f70186a0d2dd60 #%5390880720f70186a0d7a46a #%5390882420f70186a0d87371 #%5390882420f70186a0d883cc #!In this note we propose optimization strategies for the B+-tree deletion algorithm. The optimizations are focused on even order B+-trees and on the reduction of the number of block accesses."	#*Optimizing Jan Jannink's Implementation of B+-tree Deletion #@R. Maelbrancke, H. Olivie #t1995 #cSIGMOD Record #index53e99cd8b7602d970258b387 #%53e9abb9b7602d9703568485 #%53e9b179b7602d9703c01162 #%53e9a905b7602d9703253c45
"#*Application of OODB and SGML techniques in text database: an electronic dictionary system #@Jian Zhang #t1995 #cACM SIGMOD Record #index539087cb20f70186a0d594ee #%539087a520f70186a0d49068 #%539087c720f70186a0d56dfc #%5390879220f70186a0d3bf66 #%5390879520f70186a0d3e2c8 #%5390882120f70186a0d868ab #%53908a9620f70186a0da46fa #!An electronic dictionary system (EDS) is developed with object-oriented database techniques based on ObjectStore. The EDS is composed of two parts: the Database Building Program (DBP), and the Database Querying Program (DQP). DBP reads in a dictionary encoded in SGML tags, and builds a database composed of a collection of trees which holds dictionary entries, and several lists which contain items of various lexical categories. With text exchangeability introduced by the SGML, DBP is able to accommodate dictionaries of different languages with different structures, after easy modification of a configuration file. The tree model, the Category Lists, and an optimization procedure enables DQP to quickly accomplish complicated queries, including context requirements, via simple SQL-like syntax and straightforward search methods. Results show that compared with relational database, DQP enjoys much higher speed and flexibility. With EDS this paper demonstrates how to apply OODBMS's to systems that handle text information with strong yet varied intrinsic hierarchies."	#*Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System. #@Jian Zhang #t1995 #cSIGMOD Record #index53e9a75fb7602d970309b887 #%53e99846b7602d9702077e8f #%53e9a0bbb7602d97029a4519
